"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages"
"1600000US1700113","Abingdon city, Illinois","1383","116","7","11","0","11","11","14","0","11","(X)","(X)","0.5","0.8","0.0","2.1","0.8","1.0","0.0","2.1","0","11","0","11","0","11","0","11","0","11","0.0","2.1","0.0","100.0","-","**","0.0","85.9","-","**"
"1600000US1700178","Adair CDP, Illinois","104","51","0","11","0","11","0","11","0","11","(X)","(X)","0.0","24.7","0.0","24.7","0.0","24.7","0.0","24.7","0","11","0","11","0","11","0","11","0","11","0.0","24.7","-","**","-","**","-","**","-","**"
"1600000US1700230","Addieville village, Illinois","143","30","0","11","0","11","0","11","0","11","(X)","(X)","0.0","18.8","0.0","18.8","0.0","18.8","0.0","18.8","0","11","0","11","0","11","0","11","0","11","0.0","18.8","-","**","-","**","-","**","-","**"
"1600000US1700243","Addison village, Illinois","12567","359","3667","295","2352","282","372","116","149","86","(X)","(X)","29.2","2.3","18.7","2.2","3.0","0.9","1.2","0.7","1548","276","907","215","553","162","72","53","16","19","12.3","2.1","24.7","5.2","23.5","5.9","19.4","13.5","10.7","13.6"
"1600000US1700295","Adeline village, Illinois","43","19","2","3","0","11","0","11","0","11","(X)","(X)","4.7","7.6","0.0","43.5","0.0","43.5","0.0","43.5","0","11","0","11","0","11","0","11","0","11","0.0","43.5","0.0","100.0","-","**","-","**","-","**"
"1600000US1700516","Albany village, Illinois","395","55","4","6","7","8","0","11","0","11","(X)","(X)","1.0","1.5","1.8","2.0","0.0","7.3","0.0","7.3","0","11","0","11","0","11","0","11","0","11","0.0","7.3","0.0","100.0","0.0","100.0","-","**","-","**"
"1600000US1700555","Albers village, Illinois","444","63","28","46","3","5","0","11","0","11","(X)","(X)","6.3","9.9","0.7","1.0","0.0","6.5","0.0","6.5","0","11","0","11","0","11","0","11","0","11","0.0","6.5","0.0","53.8","0.0","100.0","-","**","-","**"
"1600000US1700568","Albion city, Illinois","954","65","30","35","5","8","2","4","0","11","(X)","(X)","3.1","3.6","0.5","0.8","0.2","0.5","0.0","3.1","32","35","30","35","0","11","2","4","0","11","3.4","3.6","100.0","52.0","0.0","100.0","100.0","100.0","-","**"
"1600000US1700646","Aledo city, Illinois","1522","106","43","27","0","11","52","47","12","18","(X)","(X)","2.8","1.8","0.0","1.9","3.4","3.0","0.8","1.2","0","11","0","11","0","11","0","11","0","11","0.0","1.9","0.0","43.5","-","**","0.0","39.5","0.0","82.3"
