site_name,site_address,site_city,site_state,site_zip,latitude,longitude,site_type
DHS Family Community Resource Center in Adams County,"300 Maine St, 2nd floor",Quincy,IL,62301,39.931731,-91.411405,FCRC
DHS Family Community Resource Center in Bureau County,225 Backbone Rd E #2,Princeton,IL,61356,41.393544,-89.467653,FCRC
DHS Family Community Resource Center in Cass County,300 East 2nd Street,Beardstown,IL,62618,40.018025,-90.432441,FCRC
DHS Family Community Resource Center in Champaign County,705 N Country Fair Dr,Champaign,IL,61821,40.124008,-88.28222,FCRC
DHS Family Community Resource Center in Christian County,1100 N Cheney St,Taylorville,IL,62568,39.560121,-89.306787,FCRC
DHS Family Community Resource Center in Cook County - Calumet Park,831 W 119th St,Chicago,IL,60643,41.677133,-87.64312,FCRC
DHS Family Community Resource Center in Cook County - Englewood,5323 S Western Ave,Chicago,IL,60609,41.797002,-87.683966,FCRC
DHS Family Community Resource Center in Cook County - Humboldt Park,2753 West North Avenue,Chicago,IL,60647,41.909997,-87.69665,FCRC
DHS Family Community Resource Center in Cook County - Lower North,2650 West Fulton Street,Chicago,IL,60612,41.88672,-87.692989,FCRC
DHS Family Community Resource Center in Cook County - Mid South,"1642 W 59th St, 2nd Floor",Chicago,IL,60636,41.787045,-87.666164,FCRC
DHS Family Community Resource Center in Cook County - North Suburban,3501 W Algonquin Rd - 4th Floor,Rolling Meadows,IL,60008,42.061488,-88.023279,FCRC
DHS Family Community Resource Center in Cook County - Northern,8001 Lincoln Ave - 4th Floor,Skokie,IL,60077,42.026604,-87.753425,FCRC
DHS Family Community Resource Center in Cook County - Northside,"6200 N Hiawatha Ave, 5th Floor",Chicago,IL,60646,41.993427,-87.749948,FCRC
DHS Family Community Resource Center in Cook County - Northwest,4105 West Chicago Avenue,Chicago,IL,60651,41.894579,-87.72908,FCRC
DHS Family Community Resource Center in Cook County - Ogden,3920 West Ogden Avenue,Chicago,IL,60623,41.852138,-87.722999,FCRC
DHS Family Community Resource Center in Cook County - Roseland,11203 S Ellis Ave,Chicago,IL,60628,41.690621,-87.604325,FCRC
DHS Family Community Resource Center in Cook County - South Loop,1112 South Wabash Avenue,Chicago,IL,60605,41.868794,-87.626356,FCRC
DHS Family Community Resource Center in Cook County - South Suburban,3301 Wireton Rd,Blue Island,IL,60406,41.66067,-87.701723,FCRC
DHS Family Community Resource Center in Cook County - Southeast,8001 S Cottage Grove Ave,Chicago,IL,60619,41.749325,-87.604776,FCRC
DHS Family Community Resource Center in Cook County - Stroger - Temporarily Closed,"1701 S. First Avenue, Suite 100 & 200",Maywood,IL,60153,41.87214,-87.832694,FCRC
DHS Family Community Resource Center in Cook County - West Suburban,2701 West Lake Street,Melrose Park,IL,60160,41.895797,-87.866853,FCRC
DHS Family Community Resource Center in Cook County - Woodlawn - Temporarily Closed,915 E 63rd St,Chicago,IL,60637,41.780227,-87.602524,FCRC
DHS Family Community Resource Center in Crawford County,1110 North Allen Street,Robinson,IL,62454,39.014394,-87.748832,FCRC
DHS Family Community Resource Center in DeKalb County,1629 Afton Road,Sycamore,IL,60178,41.97119,-88.702453,FCRC
DHS Family Community Resource Center in DuPage County,"1717 Park St, Suite 105",Naperville,IL,60563,41.798577,-88.149551,FCRC
DHS Family Community Resource Center in Franklin County,1602 North Main Street,Benton,IL,62812,38.01492,-88.920589,FCRC
DHS Family Community Resource Center in Fulton County,1329 North Main Street,Lewistown,IL,61542,40.405546,-90.155043,FCRC
DHS Family Community Resource Center in Henry County,150 West South Street,Kewanee,IL,61443,41.222631,-89.92841,FCRC
DHS Family Community Resource Center in Jackson County,342 North St,Murphysboro,IL,62966,37.765427,-89.327237,FCRC
DHS Family Community Resource Center in Jefferson County,"333 Potomac Boulevard, Suite F",Mount Vernon,IL,62864,38.31834,-88.955953,FCRC
DHS Family Community Resource Center in Jersey County,110 North Jefferson Street,Jerseyville,IL,62052,39.119845,-90.326564,FCRC
DHS Family Community Resource Center in Kane County/Aurora,361 W Old Indian Trail,Aurora,IL,60506,41.780812,-88.320382,FCRC
DHS Family Community Resource Center in Kane County/Elgin,700 S State St,Elgin,IL,60123,42.018317,-88.289582,FCRC
DHS Family Community Resource Center in Kankakee County,285 N Schuyler Ave,Kankakee,IL,60901,41.122781,-87.863706,FCRC
DHS Family Community Resource Center in Knox County,"477 East Main Street, Suite 100",Galesburg,IL,61401,40.947582,-90.363203,FCRC
DHS Family Community Resource Center in Lake County,2000 N Lewis Ave,Waukegan,IL,60087,42.388184,-87.855855,FCRC
DHS Family Community Resource Center in LaSalle County,1560 First Avenue,Ottawa,IL,61350,41.323522,-88.836788,FCRC
DHS Family Community Resource Center in Logan County,1550 4th Street,Lincoln,IL,62656,40.146198,-89.3856,FCRC
DHS Family Community Resource Center in Macon County,707 E Wood St,Decatur,IL,62523,39.839992,-88.947105,FCRC
DHS Family Community Resource Center in Macoupin County,340 E. Wilson,Carlinville,IL,62626,39.293485,-89.877147,FCRC
DHS Family Community Resource Center in Madison County/East Alton,608 W St Louis Ave,East Alton,IL,62024,38.88033,-90.11122,FCRC
DHS Family Community Resource Center in Madison County/Granite City,1925 Madison Avenue,Granite City,IL,62040,38.698767,-90.147946,FCRC
DHS Family Community Resource Center in Marion County,800 S Locust St,Centralia,IL,62801,38.517998,-89.137141,FCRC
DHS Family Community Resource Center in Mason County,323 West Main Street,Havana,IL,62644,40.299942,-90.064882,FCRC
DHS Family Community Resource Center in Massac County,2301 Metropolis Street,Metropolis,IL,62960,37.169532,-88.725072,FCRC
DHS Family Community Resource Center in McDonough County,"640 Sherman Dr, Suite 309, 3rd Floor/Seal Hall",Macomb,IL,61455,40.465693,-90.684515,FCRC
DHS Family Community Resource Center in McHenry County,512 Clay Street,Woodstock,IL,60098,42.319254,-88.446485,FCRC
DHS Family Community Resource Center in McLean County,501 West Washington Street,Bloomington,IL,61701,40.480103,-88.997831,FCRC
DHS Family Community Resource Center in Mid-Illinois,1550 Douglas St,Charleston,IL,61920,39.484718,-88.196051,FCRC
DHS Family Community Resource Center in Montgomery County,210 E Fairground Ave,Hillsboro,IL,62049,39.151433,-89.494275,FCRC
DHS Family Community Resource Center in Morgan County,45 S Central Park Plaza,Jacksonville,IL,62650,39.733396,-90.228686,FCRC
DHS Family Community Resource Center in Ogle County,1001 Pines Rd,Oregon,IL,61061,42.004462,-89.342279,FCRC
DHS Family Community Resource Center in Peoria County,"211 Fulton Street, Suite 300",Peoria,IL,61602,40.689984,-89.590525,FCRC
DHS Family Community Resource Center in Pulaski County,422 S Blanche St,Mounds,IL,62964,37.107921,-89.198402,FCRC
DHS Family Community Resource Center in Randolph County,870 Lehmen Drive,Chester,IL,62233,37.922091,-89.834592,FCRC
